EngWord,NldWord,Group
post,na,0
travel,reis,0
care,zorg,0
going,gaan,0
box,doos,0
thing,ding,0
cut,snee,0
let,laten,0
single,enkel,0
step,stap,0
death,dood,1
tour,tour,1
union,unie,1
stage,fase,1
march,maart,1
rent,huur,1
play,Speel,1
trip,reis,1
bob,bob,1
left,links,1
basket,mand,2
rock,steen,2
goal,doel,2
wind,wind,2
foot,voet,2
course,Cursus,2
bath,bad,2
credit,credit,2
turn,draai,2
clip,klem,2
beginning,begin,3
version,versie,3
move,Actie,3
run,rennen,3
choice,keuze,3
way,manier,3
slide,dia,3
wave,Golf,3
hit,raken,3
push,duw,3
shot,schot,4
get,krijgen,4
chip,chip,4
figure,figuur,4
journey,reis,4
point after,punt na,4
access,toegang,4
standing,staan,4
score,scoren,4
rack,rek,4
contact,contact,5
playing,spelen,5
kill,doden,5
deposit,borg,5
break,pauze ,5
cooking,Koken,5
success,succes,5
disaster,ramp,5
smooth,zacht,5
fell,viel,5
violence,geweld,6
cruise,cruise,6
solo,solo,6
ace,ace,6
booking,boeken,6
assist,helpen,6
kick,trap,6
roll,rollen,6
flight,vlucht,6
record,dossier,6
bank run,bankrun,7
hook,haak,7
damage,schade,7
discount,korting,7
attack,aanval,7
murder,moord,7
serve,dienen,7
double,dubbele,7
carry,dragen,7
winning,winnen,7
shower,douche,8
orgy,orgie,8
division,divisie,8
sitting,zitten,8
mix,mengen,8
bow,boog,8
blow,blazen,8
fusion,fusie,8
pace,tempo,8
transportation,vervoer,8
lift,tillen,9
vote,stemmen,9
riding,rijden,9
trick,truc,9
upgrade,upgrade,9
drop,druppel,9
favor,gunst,9
snap,snap,9
stretch,rekken,9
opening,opening,9
pas,pas,10
rally,rally,10
flow,stromen,10
entrance,Ingang,10
flux,flux,10
twist,twist,10
bite,beet,10
rise,opstaan,10
hammer,hamer,10
blend,mengen,10
delivery,levering,11
release,laat los,11
fold,vouwen,11
right,Rechtsaf,11
surge,golf,11
relay,relais,11
wound,wond,11
relation,relatie,11
