EngWord,NldWord,Freq,NldWordLength,FreqScore,LenScore,TotalScore
used-car,gebruikte auto,0,14,5,5,10
Liberty ship,Vrijheidsschip,0,14,5,5,10
shrimper,garnalenvisser,0,14,5,5,10
boneshaker,bottenschudder,0,14,5,5,10
surface-to-air missile,Luchtdoelraket,0,14,5,5,10
self-propelled vehicle,zelfrijdend voertuig,0,20,5,5,10
hot-air balloon,heteluchtballon,0,15,5,5,10
four-wheel drive,vierwielaandrijving,0,19,5,5,10
heat-seeking missile,hittezoekende raket,0,19,5,5,10
blockade-runner,blokkade-runner,0,15,5,5,10
guard's van,beveiligingsbusje,0,17,5,5,10
Stanley Steamer,Stanley Stoomboot,0,17,5,5,10
air-to-air missile,lucht-lucht raket,0,17,5,5,10
birchbark canoe,berkenbast kano,27093,15,5,5,10
velocipede,snelheidsduivel,21647,15,5,5,10
air-to-ground missile,lucht-grondraket,0,16,5,5,10
gas-turbine ship,gasturbine schip,0,16,5,5,10
multiengine airplane,meermotorig vliegtuig,0,21,5,5,10
square-rigger,vierkante rigger,0,16,5,5,10
diesel-hydraulic locomotive,dieselhydraulische locomotief,0,29,5,5,10
diesel-electric locomotive,diesel-elektrische locomotief,0,29,5,5,10
lighter-than-air craft,lichter dan luchtvaartuigen,0,27,5,5,10
nuclear-powered ship,nucleair aangedreven schip,0,26,5,5,10
single-rotor helicopter,helikopter met één rotor,0,24,5,5,10
bicycle-built-for-two,fiets-gebouwd-voor-twee,0,23,5,5,10
heavier-than-air craft,zwaarder dan luchtvaartuigen,0,28,5,5,10
torpedo-boat destroyer,torpedoboot torpedobootjager,0,28,5,5,10
horse-drawn vehicle,door paarden getrokken voertuig,0,31,5,5,10
narrowbody aircraft,narrowbody-vliegtuigen,0,22,5,5,10
antiballistic missile,antiballistische raket,0,22,5,5,10
tumbrel,vuilniswagen,0,12,5,4,9
blimp,slap luchtschip,263458,15,4,5,9
double-prop,dubbele prop,0,12,5,4,9
flatcar,platte wagen,25668,12,5,4,9
troopship,troepenschip,0,12,5,4,9
minelayer,mijnenlegger,0,12,5,4,9
sternwheeler,sternwheeler,16938,12,5,4,9
man-of-war,oorlogsschip,0,12,5,4,9
floatplane,drijf vliegtuig,55812,15,4,5,9
ski-plane,ski-vliegtuig,0,13,5,4,9
jetliner,straalvliegtuig,88278,15,4,5,9
jaunting car,pittige auto,0,12,5,4,9
gas guzzler,benzineslurper,134866,14,4,5,9
dreadnought,angstaanjagend,275182,14,4,5,9
seaplane,watervliegtuig,309463,14,4,5,9
sharpshooter,scherpschutter,171036,14,4,5,9
hydrofoil,draagvleugelboot,86088,16,4,5,9
car-ferry,auto veerboot,0,13,5,4,9
multistage rocket,meertraps raket,160387,15,4,5,9
minicar,kleine auto,19195,11,5,4,9
pantechnicon,pantechnicon,0,12,5,4,9
horseless carriage,koets zonder paard,38648,18,4,5,9
boxcar,gesloten goederenwagen,354186,22,4,5,9
outboard motorboat,buitenboord motorboot,167980,21,4,5,9
widebody aircraft,widebody-vliegtuigen,49746,20,4,5,9
guided missile frigate,geleide raket fregat,503810,20,4,5,9
sailing warship,zeilend oorlogsschip,379728,20,4,5,9
horsecar,paardenwagen,0,12,5,4,9
golfcart,golfwagentje,0,12,5,4,9
bloodmobile,bloedmobiel,16481,11,5,4,9
warplane,gevechtsvliegtuig,43421,17,4,5,9
supertanker,supertanker,13415,11,5,4,9
iceboat,ijsschuitje,0,11,5,3,8
choo-choo,choo-choo,0,9,5,3,8
bookmobile,boekenmobiel,141975,12,4,4,8
raceabout,race over,0,9,5,3,8
push-bike,duw fiets,0,9,5,3,8
dredger,baggerschip,37579,11,4,4,8
handcar,handwagen,0,9,5,3,8
Minuteman,Minuteman,0,9,5,3,8
minesweeper,mijnenveger,197626,11,4,4,8
jinrikisha,jinriksha,0,9,5,3,8
three-decker,driedekker,0,10,5,3,8
lifeboat,reddingsboot,445941,12,4,4,8
dogcart,hondenkar,14677,9,5,3,8
shunter,rangeerder,24447,10,5,3,8
four-wheeler,vierwieler,0,10,5,3,8
